[2026-05-13 17:34:24.315] [Hash Trace] Tick: 240
Tick                           | Val: 240                  | AccumHash: 12638346629741732591
SharedDepthAxis.X              | Val: 0                    | AccumHash: 759041288298798109
SharedDepthAxis.Y              | Val: 0                    | AccumHash: 14830813288170669383
SharedDepthAxis.Z              | Val: 65561                | AccumHash: 5367115630836375226
CurrentTimerFrames             | Val: 5340                 | AccumHash: 230337868513274706
IsTimerPaused                  | Val: 0                    | AccumHash: 8966237936700283990
CurrentPhase                   | Val: 1                    | AccumHash: 1627339600882591701
PhaseDelayTicks                | Val: 0                    | AccumHash: 16745510490700541679
SimulationScale                | Val: 65536                | AccumHash: 12347955771831975965
--- P1 ---
P1.Position.X                  | Val: 18446744073709420544 | AccumHash: 10008480282471346503
P1.Position.Y                  | Val: 0                    | AccumHash: 4054215505757158309
P1.Position.Z                  | Val: 0                    | AccumHash: 2584992754487548255
P1.Velocity.X                  | Val: 0                    | AccumHash: 2704379946153270381
P1.Velocity.Y                  | Val: 0                    | AccumHash: 17132690442093825335
P1.Velocity.Z                  | Val: 0                    | AccumHash: 13750255062103422069
P1.DepthAxis.X                 | Val: 0                    | AccumHash: 17366817220947043023
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 4038311994309535165
P1.DepthAxis.Z                 | Val: 65561                | AccumHash: 4649956582032225708
P1.CurrentDirection.X          | Val: 0                    | AccumHash: 12411404409632338756
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 9787890084039957644
P1.CurrentDirection.Z          | Val: 65536                | AccumHash: 10665629192856306148
P1.LookDirection.X             | Val: 65561                | AccumHash: 13848038076175343847
P1.LookDirection.Y             | Val: 0                    | AccumHash: 1314100234188957829
P1.LookDirection.Z             | Val: 0                    | AccumHash: 1453265484187818495
P1.IsGrounded                  | Val: 1                    | AccumHash: 11455672330851543706
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 15092533459726115758
P1.CachedCurrentState          | Val: 1                    | AccumHash: 10615114953503318621
P1.StateFrameCounter           | Val: 241                  | AccumHash: 15158146445637610052
P1.CurrentActionID             | Val: 0                    | AccumHash: 553760496276246924
P1.IsCommandActionTriggered    | Val: 0                    | AccumHash: 4577875239014715620
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 8877912892677976940
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 5258048586518503556
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 3178671656098938956
P1.IsFromRoll                  | Val: 0                    | AccumHash: 6224049457894277412
P1.SideStepDirection           | Val: 0                    | AccumHash: 420156823038767148
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 1665014584925575876
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 11008769313359870732
P1.CurrentHealth               | Val: 100                  | AccumHash: 11773175939946508728
P1.HitstopCounter              | Val: 0                    | AccumHash: 5814798121640115112
--- P2 ---
P2.Position.X                  | Val: 103517               | AccumHash: 1526167579072363855
P2.Position.Y                  | Val: 0                    | AccumHash: 5816161781589863741
P2.Position.Z                  | Val: 0                    | AccumHash: 371197741744397991
P2.Velocity.X                  | Val: 0                    | AccumHash: 15779190381865997765
P2.Velocity.Y                  | Val: 0                    | AccumHash: 8826792485774359999
P2.Velocity.Z                  | Val: 0                    | AccumHash: 15053178142536313741
P2.DepthAxis.X                 | Val: 0                    | AccumHash: 9710725050891567255
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 16074128943134015637
P2.DepthAxis.Z                 | Val: 65561                | AccumHash: 7055135752257007076
P2.CurrentDirection.X          | Val: 18446744073709484425 | AccumHash: 3629564485817447735
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 2075228442536897653
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 2503349331043011279
P2.LookDirection.X             | Val: 18446744073709486044 | AccumHash: 8134849288258006857
P2.LookDirection.Y             | Val: 0                    | AccumHash: 14551998367545645323
P2.LookDirection.Z             | Val: 0                    | AccumHash: 14368293419565206961
P2.IsGrounded                  | Val: 1                    | AccumHash: 10906552042014114320
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 13913785416386052400
P2.CachedCurrentState          | Val: 128                  | AccumHash: 14899413070031183376
P2.StateFrameCounter           | Val: 19                   | AccumHash: 6824265508047470361
P2.CurrentActionID             | Val: 1504694068           | AccumHash: 11415469373712866423
P2.IsCommandActionTriggered    | Val: 0                    | AccumHash: 12894492306370780725
P2.HurtInfo.Damage             | Val: 0                    | AccumHash: 5679956224807638031
P2.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 6813204453604365693
P2.ScheduledWakeUpType         | Val: 0                    | AccumHash: 15909842436750574439
P2.IsFromRoll                  | Val: 0                    | AccumHash: 2388698891590682629
P2.SideStepDirection           | Val: 0                    | AccumHash: 17723922847218720895
P2.CurrentStunFrames           | Val: 0                    | AccumHash: 15803852391034353613
P2.IsGroundBouncing            | Val: 0                    | AccumHash: 18213265531099189591
P2.CurrentHealth               | Val: 100                  | AccumHash: 9734629105769298345
